data_viagem;placa;pedagio;chapa;lancamentos
2026-04-01;RAQ3J90;60,00;0,00;2
2026-04-06;RAQ3J90;56,00;0,00;1
2026-05-28;RAQ5F96;425,90;600,00;12
2026-06-01;RAQ5F96;0,00;600,00;1
2026-06-03;RAQ5F96;60,00;600,00;3
2026-06-05;RAQ5F96;174,40;0,00;4
2026-06-09;RAQ5F96;541,80;1200,00;18
2026-06-15;RAQ5F96;60,00;0,00;1
2026-06-18;RAQ5F96;288,80;0,00;8
2026-06-23;RAQ5F96;68,40;600,00;3
2026-06-25;RAQ5F96;74,00;600,00;3
2026-06-29;RAQ5F96;174,40;0,00;4
2026-07-03;RAQ5F96;139,20;0,00;5
2026-07-09;RAQ5F96;480,20;1200,00;16
2026-07-15;RAQ5F96;387,00;0,00;11
2026-07-17;RAQ5F96;82,80;600,00;4
2026-07-22;RAQ5F96;88,60;600,00;4
2026-07-24;RAQ5F96;311,00;0,00;9
2026-07-29;RAQ5F96;251,70;600,00;7
2026-07-31;RAQ5F96;442,20;0,00;14
2026-08-03;RAQ5F96;0,00;600,00;1
2026-08-05;RAQ5F96;74,40;600,00;3
2026-08-07;RAQ5F96;419,60;1200,00;13
